CLIENTEID,CODMARCA,DESCDISTRI,DESCDIMES
00244,002,12.0,14.0
00246,002,12.0,14.0
00247,002,12.0,14.0
00248,002,12.0,14.0
00249,002,12.0,14.0
00252,002,12.0,14.0
00253,002,12.0,14.0
00255,002,12.0,14.0
00256,002,12.0,14.0
00257,002,12.0,14.0
00258,002,12.0,14.0
00259,002,12.0,14.0
00264,002,12.0,14.0
00265,002,12.0,14.0
00268,002,12.0,14.0
00273,002,12.0,14.0
00279,002,12.0,14.0
00280,002,12.0,14.0
00281,002,12.0,14.0
07465,124,12.0,0.0
00282,002,12.0,14.0
00287,002,12.0,14.0
07298,019,8.0,0.0
07298,105,14.0,0.0
07298,109,12.0,0.0
07298,103,12.0,0.0
07298,101,12.0,0.0
07298,098,12.0,0.0
07298,104,14.0,0.0
07298,102,12.0,0.0
07298,116,12.0,0.0
01070,017,9.0,14.0
04412,019,8.0,15.51
04413,019,8.0,10.0
04430,019,8.0,13.03
04433,019,8.0,18.93
07107,053,12.0,10.0
02528,002,12.0,14.0
07298,099,14.0,0.0
07298,097,12.0,0.0
07298,096,12.0,0.0
07298,100,14.0,0.0
07298,110,12.0,0.0
04470,019,8.0,15.51
04528,019,8.0,18.93
07093,053,12.0,10.0
02529,002,12.0,14.0
02530,002,12.0,14.0
00293,002,12.0,14.0
07112,105,14.0,12.0
07112,109,12.0,15.0
07112,098,12.0,15.0
07112,104,14.0,12.0
00296,002,12.0,14.0
00297,002,12.0,14.0
00300,002,12.0,14.0
00303,002,12.0,14.0
05288,105,14.0,12.0
05288,109,12.0,15.0
05288,098,12.0,15.0
05288,104,14.0,12.0
05288,099,14.0,12.0
05288,100,14.0,12.0
00306,002,12.0,14.0
05292,017,8.0,14.0
05292,105,14.0,12.0
05292,109,12.0,15.0
05292,098,12.0,15.0
05292,104,14.0,12.0
05292,099,14.0,12.0
05292,111,12.0,10.0
05292,049,12.0,10.0
05485,002,10.0,14.0
05485,017,5.0,14.0
05485,105,14.0,12.0
05485,109,12.0,15.0
05485,098,12.0,15.0
07112,099,14.0,12.0
07112,100,14.0,12.0
06207,109,14.0,15.0
06207,098,14.0,15.0
04603,019,8.0,18.93
02531,002,12.0,14.0
04622,019,8.0,16.55
05993,109,14.0,15.0
05485,104,14.0,12.0
05485,099,14.0,12.0
05485,100,14.0,12.0
05485,111,12.0,10.0
00313,002,12.0,14.0
00315,002,12.0,14.0
00318,002,12.0,14.0
00319,002,12.0,14.0
05993,098,14.0,15.0
00323,002,12.0,14.0
05993,111,12.0,10.0
05993,049,12.0,10.0
02532,002,12.0,14.0
00325,002,12.0,14.0
00329,002,12.0,14.0
00333,002,12.0,14.0
00346,002,12.0,14.0
00350,002,12.0,14.0
00353,002,12.0,14.0
00354,002,12.0,14.0
00356,002,12.0,14.0
04830,053,12.0,8.0
01677,098,12.0,15.0
01677,099,14.0,12.0
01677,100,14.0,12.0
00359,002,12.0,14.0
04702,019,8.0,18.93
00360,002,12.0,14.0
00365,002,12.0,14.0
04730,019,8.0,18.93
01677,109,12.0,15.0
06365,105,14.0,12.0
06365,109,12.0,15.0
06365,103,12.0,18.0
06365,101,12.0,18.0
06365,098,12.0,18.0
06365,104,14.0,12.0
06365,099,14.0,18.0
06365,097,12.0,18.0
06365,096,12.0,18.0
06365,100,14.0,12.0
